ctrl.1	ctrl.2	ctrl.3	kout.1	kout.2	kout.3
25.4950318060073	26.2261341823199	25.6961217370515	25.1580000300316	25.8011439064703	25.9742566771561
32.4322859874187	32.2810986125482	32.3056299391393	32.7096662382213	32.6576163886077	32.6387335457668
31.0998019211208	30.9579536835404	31.1300750007487	30.5301794240206	30.7194711287156	30.7563682387857
NA	23.8174357378858	NA	23.8785800821336	23.8089201957734	NA
NA	NA	23.769814442767	24.1532136872138	24.9757440819634	24.086913039482
30.3125706788751	30.1456447917254	30.1213931282042	31.0858170810638	30.9818934017175	30.9632008573523
NA	NA	25.4494426363682	NA	22.6642285136592	23.7801664736137
27.429819436852	26.5343787634259	27.4968610899052	26.5258035852644	28.2245343240418	27.1130687210288
30.3594051727827	30.1720021641514	29.9859015509965	30.9048354303175	30.9034713153696	31.0177047943515
26.6349184844906	27.2322414387482	26.9581473394519	27.4361889617277	27.469641072062	27.4780000581298
26.9073592295377	27.3616028878977	27.8213462917971	26.9806547388615	27.0890165655985	27.0265435354938
30.7171027742631	30.9093493416543	30.7826929322109	31.2797987750788	31.2065872604289	31.1876003015735
24.7366030091787	23.904169328998	NA	23.6930666138743	23.6138047490067	23.6205321803665
29.5677581408498	29.6918560592302	29.5474372564102	29.5893336045895	29.7294570181235	29.8156169503492
28.9004657145941	29.4331271379375	29.0883848187255	29.3865874885183	29.6402214050107	29.5566746417208
24.2737677171953	23.8129395301896	23.7003880695036	24.8161664903142	24.4384751239049	23.9375074458388
27.8048281035028	28.2587618983036	28.2455852732255	27.9067860263672	28.0863866783763	28.1515598690728
NA	23.4193121523439	23.6024089052057	23.2789507606393	24.3191379036875	24.0801773395294
27.7590065502167	27.0529984782731	26.7503424543385	26.2717925557792	26.1029755792123	26.3121595035901
24.6706065484416	NA	25.9909022132755	23.9445841051634	24.1272311321801	23.8448888538096
30.3249590267682	29.860590208578	30.3368164219772	29.0348563777362	29.0328877237475	29.6606964353352
NA	NA	NA	NA	24.805775355202	NA
28.2137766793647	26.3115187021953	27.8864627891212	24.2908788862146	24.2120795381784	24.676536917573
29.8901647824424	29.8195659286352	29.8215439743732	30.2114112628445	30.1699733086493	30.1576194409838
29.1047209938412	29.4502610617494	29.0457013039019	29.3203608259117	29.4189061845314	29.1862665328433
23.5238461929446	24.2224352689492	23.3601129931993	22.5457836903251	23.0733610082015	NA
24.0651320950653	23.7938215702423	NA	NA	NA	NA
32.0798226923854	31.6605944396448	31.5547184695446	31.9234800888366	32.0403216960517	32.0319680984114
31.9268410778595	29.6690018364631	30.3123542854382	30.1996426558795	30.1466161400475	30.3228121587516
30.4418382402224	30.1336923931546	30.2939507855612	30.2851565185196	30.0035671500772	30.1835243050933
25.8330147535214	25.743887088354	26.0094524337625	24.7977842041718	25.4824384594318	25.4634490380312
26.4163673010107	26.6318695601186	26.7038501481277	26.2212370707719	25.9089858858094	NA
25.9270078619429	26.9781469359445	26.2245527233001	25.7847907805463	25.1891072741984	25.8341245746688
28.7133544706999	28.6497931808805	28.342062321235	27.1755993448886	27.0455190517467	26.66329489204
25.9056389363482	25.8759116748723	25.7935983484192	26.2564691584014	26.1411973871943	26.3124711419253
23.4693616033648	23.9640221065501	23.5534446182716	24.0193708283013	23.9680719030632	NA
25.8559772993015	NA	25.5245039339342	25.1871825986815	24.8948577205389	24.9949852234613
31.6671245932357	31.4703395070488	31.6555707377284	31.6802226720733	31.7387222085017	31.7136248707799
32.1938102613575	32.0539436291255	32.2551863326158	32.1418441829854	32.1698240154281	32.1864200380472
NA	NA	27.3511917279471	NA	27.6100630770979	NA
29.8123459128855	29.7423651055832	30.0986103108295	30.8290359110461	30.9810768203793	30.9368422258881
NA	NA	NA	NA	NA	NA
27.3167407265264	27.5529611389218	27.5408950791595	27.9659273671321	28.1510275360593	27.8371360879756
NA	NA	26.9125078354097	26.8059967010036	26.777936515309	26.6197489279111
29.1383875876142	29.2235220033005	29.1138635943497	30.0467423033452	29.9902368196647	30.2141937035158
25.6660885270313	26.6044181709784	26.8188501209942	26.8842515834468	26.6148439422323	26.7715281568137
24.5747898335871	25.2600460380954	24.6736286915543	NA	NA	NA
25.3620211209897	25.3157220142819	24.8276950755143	25.3134056532302	25.4741980807181	24.3966941399874
NA	23.6181811461398	23.4272637319482	NA	NA	NA
29.8357365161867	29.6259438697784	29.7801602145108	30.0378697726419	30.1739090723723	30.1024950946116
NA	NA	NA	NA	NA	NA
28.5679031717664	28.4997147106171	28.6477363991213	25.7652176969192	26.7695118112152	26.8394206411701
23.7539928130994	24.7903453146324	24.010861336597	24.8960134113908	25.4490017533959	25.3917213552051
29.723594211564	30.1440649545181	29.860590208578	30.1686589977836	30.2200886319664	30.3218450248755
29.0793077268372	28.7613230116451	29.1543876175139	29.2927886214978	29.5815073052969	29.2982841922097
28.4983456770781	28.2150273903584	28.1143105182107	28.2721753433107	28.3684050147159	28.5350465575782
28.4458486649571	28.7925313671823	28.9040601968775	28.5180706258109	28.8176614005636	28.6630912605676
26.2754027409452	27.0234799268161	27.6078077644106	26.6397558053449	27.7375703303876	27.0701987585284
28.8432002373677	28.6067493716987	29.0264380020429	28.4133276453195	28.1895691915184	27.9862000181071
27.0179702152042	27.3170858895261	27.4493954053509	26.9606901184496	26.5602255312713	27.2075998944964
27.5566198318972	26.2858267683245	NA	26.7122723632918	25.9483322943135	26.3498259944122
26.6396178210264	26.7947636817974	26.6764024068237	27.12947326635	27.0861841806511	27.0507172091354
27.2490716313534	26.9179795045762	27.2209419769921	27.520957554051	27.1346718195608	27.2156754805529
29.328130539929	29.4033047413738	28.9959610574652	28.9985188132488	29.2245343240418	29.0814680781437
30.2828391128996	30.2583350953549	30.3895649764047	30.4993345538189	30.2667355793252	30.644095569764
29.6789727537713	29.3133061738738	29.287095862017	29.0820013140207	29.5169442828809	29.3971553798597
27.0968775849213	27.0064592894505	27.2598844609902	26.7891764054099	27.5046097733828	27.2595253359549
27.7566545540794	27.383109402342	27.0797909097112	28.1268177271264	27.8686186480356	27.9297076455667
29.6673614973095	29.7930277356857	29.9560156933648	29.8566482139438	29.8811035023412	29.8379330864602
27.9953950463073	28.0595113185105	28.7743274613238	28.9122222832759	29.6194690918049	29.4540127879225
29.6581614059837	29.629613369067	29.8840914304002	29.4312749625742	29.6036225817002	29.5476211141666
NA	NA	23.899751503411	23.7209848377199	NA	NA
28.7156144395557	30.1576194409838	29.6155982925977	30.1842340017744	29.0521952608555	31.0631683421186
26.7404684085819	24.9546464574455	24.879982527117	23.9207984236457	23.9651677671297	23.9160667800397
29.559120692557	29.3163307381785	29.4810067178653	28.7347310137401	28.7396639706487	28.0304954774842
28.4576765160686	28.5235770306315	28.0309689838746	27.6990909555527	28.2806064714451	27.964055167198
26.3968574275999	26.1843286016263	26.2625212903486	NA	NA	NA
26.5490727673154	26.7212978206999	27.0662002407718	26.4993269496611	27.1932874191121	27.2637394197393
25.1807484058206	24.2836208256667	24.7766571188283	24.5936031234191	24.5026992601589	24.6212591056559
31.9089558322119	31.7893552228281	31.7883053254433	31.7429432628341	31.7828491272028	31.6796775388566
29.7296677003322	28.9067000262455	29.2723310998605	29.1242805676036	29.3528760373333	28.8072257818761
27.5663796194959	28.264097497438	27.7007452328133	27.8701484226921	27.9692253341435	27.9370247007066
25.4598585727415	25.0725925605452	25.6899250522641	25.7641041938152	25.4725257496902	25.7981551436851
25.3164127451695	24.8006009553905	25.2143048896005	24.9449861629582	25.4110901757625	25.0691130781465
28.1936164206052	28.4594364966824	28.1613967930533	28.6369590474163	28.6009497269948	28.4907926820875
25.6379609789943	26.9144480924717	26.1275460279668	NA	24.8046435015481	24.6805664194223
29.9335396568341	29.4323905357686	29.9572618430049	29.3328961105028	29.3905902731865	29.3090394121738
26.5506440507553	25.301802610994	26.0291161623886	NA	24.6621541854213	25.7590065502167
27.1157496651296	26.9588111052979	27.1303573609794	26.8045204204543	26.9157021638652	26.4795735540159
31.019429157682	31.0547200020977	31.1088012176129	30.5214069450964	30.5999217497971	30.7621629995536
31.4322610938377	31.855527374256	31.4708728060702	31.8331143103807	32.1365064538306	32.1766161250501
26.7159416777545	26.8030426277096	27.9621805345338	27.3600124954778	28.3946841892165	27.8178138553662
27.7338264216927	27.6506835431547	26.3787014002412	27.5913504490892	28.0973800385331	27.5490727673154
23.0552678699195	22.9103865473844	24.272629215501	23.7140819774652	25.0872773308599	24.1878244425269
NA	24.9433325416587	NA	24.7187920536073	NA	24.3527918685493
31.127678854015	31.0977944310674	30.8938862242665	31.0476525620879	31.1197246652463	30.9388061262908
27.1060948345906	27.7076067395164	27.1647088657701	25.6626703310895	27.0386286795275	26.9820702667709
26.670066213214	26.6923217773872	26.4769037676501	26.9341585857042	26.6008788555266	26.6901915517644
32.2642205661235	31.9811789183264	31.9655421127652	32.1222883588695	32.4137714956201	32.0574663010845
29.4125808617283	29.1848487899611	28.9319911719853	29.0852219281177	29.1831929937953	29.0219192125369
29.2204577079745	28.9377263119179	29.2704163526194	29.1131432590096	28.5898514708548	28.6419617614947
29.5925271260701	29.7276406343702	29.6303947576344	29.9797829539322	29.9441931081892	29.9801916687112
31.1383997947568	31.0673419737833	31.0400276851734	30.8137530622248	30.8901212847552	30.7684868058144
31.7191854990487	31.4608038876569	31.663396696999	31.2479632491855	31.4088714954978	31.2332933824897
NA	NA	21.8238041449731	NA	NA	21.5696887574082
33.5036766293865	33.3759364377205	33.3494210842101	33.6368769618403	33.7158966869033	33.7156921653491
24.2593996210698	24.3881776156046	24.2391428139288	25.1627705459802	24.744426140125	25.1651882460839
30.0933303126289	29.7226500393831	29.2737321526135	29.4484504601454	29.691506671926	29.3189181845805
29.9128504233816	28.9964999093366	29.7605301216415	29.4408883305577	29.3689877536325	29.3281947553182
NA	NA	22.1928887567782	NA	NA	NA
24.495397848391	23.8993827398993	24.6245536325617	24.2441611416677	NA	23.48209989616
28.6565939257435	28.5240256065923	28.463300912988	28.2557041013548	27.8070414864843	27.8763099085087
27.2448144211117	26.2822072501657	25.6698500224458	25.061840523843	25.8532667171431	25.4827154066608
25.7684521005794	25.0400930261023	25.6365511656613	26.8212854609393	26.7420116731693	27.0386286795275
27.7098428646628	27.589208574532	27.9857115852261	27.2818005907359	27.4158678504887	27.5668876490449
29.0550950993182	28.8472687202523	29.5690447810299	29.2031249725265	29.5758755308698	29.5892978828216
