NPM1	SYK
NUDT16L1	PXN
NUDT16L1	SYK
PAICS	SYK
PARK7	SYK
PCNA	REV1
PDIA3	SYK
PELO	SYK
PGAM1	SYK
PGK1	SYK
PHB2	SYK
PKM	SYK
PLS1	SYK
PPIB	SYK
PPP1CB	PPP1R12A
PTK2	PXN
PXN	VCL
RAD18	WRNIP1
RAN	SYK
RBL1	SP1
RNF13	UBC
RPL10L	SYK
RPL22	SYK
RPL27	SYK
RPL30	SYK
RPL36	SYK
RPL5	SYK
RPL7	SYK
RPL7A	SYK
RPLP0	SYK
RPLP1	SYK
RPS12	SYK
RPS4X	SYK
RPSA	SYK
SEC23B	SYK
SKI	SMAD2
SKI	SMAD3
SKP1	SYK
SMC5	XRCC6
STT3A	SYK
SYK	TPT1
SYK	TUBA8
SYK	TUBB
SYK	TUBG1
SYK	TUFM
SYK	TXN
SYK	UBE2I
SYK	USP10
SYK	VDR
SYK	YBX1
SYK	YWHAE
SYK	YWHAZ
TNNC1	TNNI3
WRN	WRNIP1
